marca,modelo,precio_contado,financiacion_disponible,descuento,precio_final,ubicacion,kilometraje,combustible_Diésel,combustible_Eléctrico,combustible_Gas,combustible_Gasolina,combustible_Híbrido,combustible_Híbrido Enchufable,combustible_nan,es_km0,es_demo,transmision,tipo_carroceria,asientos,potencia,puertas,mes_matriculacion2,año_matriculacion2,garantia_limpia,transmision_cod
FORD,Focus 1.0 ECOBOOST MHEV 92KW ACTIVE X 125 5P,21600.0,1,0.0,21600.0,Barcelona,18305.0,False,False,False,True,False,False,False,False,False,Manual,Desconocido,0.0,125.0,5.0,10.0,2022.0,12,1
FORD,Focus 1.0 Ecoboost ST-Line 125,24900.0,1,0.0,24900.0,La Rioja,15532.0,False,False,False,True,False,False,False,False,False,Manual,Berlina,5.0,125.0,5.0,4.0,2023.0,12,1
AUDI,Q3 SPORTBACK BLACK LINE,37390.0,1,0.0,37390.0,Murcia,79000.0,True,False,False,False,False,False,False,False,False,Automático,Desconocido,0.0,150.0,5.0,10.0,2020.0,12,0
BMW,X5 M 30D,49390.0,1,0.0,49390.0,Murcia,135000.0,True,False,False,False,False,False,False,False,False,Automático,Desconocido,0.0,265.0,5.0,9.0,2020.0,12,0
VOLKSWAGEN,Tiguan 1.5 TSI 110KW R-LINE DSG 150 5P,29900.0,1,0.0,29900.0,Barcelona,39052.0,False,False,False,True,False,False,False,False,False,Automático,Desconocido,0.0,150.0,5.0,10.0,2019.0,12,0
VOLKSWAGEN,T-Roc 2.0 TDI 110KW DSG R-LINE 150 5P,32500.0,1,0.0,32500.0,Barcelona,32486.0,True,False,False,False,False,False,False,False,False,Automático,Desconocido,0.0,150.0,5.0,1.0,2023.0,12,0
SEAT,Ibiza 1.0 TSI S&S Style XM 110,13990.0,1,0.0,13990.0,Madrid,75000.0,False,False,False,True,False,False,False,False,False,Manual,Berlina,5.0,110.0,5.0,5.0,2022.0,12,1
PEUGEOT,308 1.2 PureTech S&S Allure EAT8 130,21900.0,1,0.0,21900.0,Salamanca,29000.0,False,False,False,True,False,False,False,False,False,Automático,Berlina,5.0,130.0,5.0,3.0,2023.0,12,0
PEUGEOT,508 SW  HYBRID 225 e-EAT8 GT,39195.0,1,0.0,39195.0,Islas Baleares,15000.0,False,False,False,False,True,False,False,False,False,Automático,Familiar,0.0,225.0,5.0,1.0,2024.0,36,0
RENAULT,Mégane 1.8 TCe GPF RS Trophy 221kW,62999.0,1,0.0,62999.0,Madrid,3400.0,False,False,False,True,False,False,False,False,False,Manual,Berlina,5.0,300.0,5.0,9.0,2020.0,24,1
VOLVO,XC90 D5 Inscription C AWD 235 Aut.,36990.0,1,0.0,36990.0,Murcia,109000.0,True,False,False,False,False,False,False,False,False,Automático,Todo Terreno,7.0,235.0,5.0,1.0,2019.0,12,0
CITROEN,C4 1.2 PureTech Feel Pack S&S EAT8 130,18990.0,1,0.0,18990.0,Zaragoza,13023.0,False,False,False,True,False,False,False,False,False,Automático,Berlina,5.0,130.0,5.0,11.0,2022.0,12,0
MERCEDES-BENZ,Clase GLA 200 D 4MATIC,43900.0,1,0.0,43900.0,Zaragoza,41254.0,True,False,False,False,False,False,False,False,False,Automático,Desconocido,5.0,150.0,5.0,10.0,2023.0,36,0
RENAULT,Kadjar 1.6dCi Energy Business 4x4 96kW,13490.0,1,0.0,13490.0,Lugo,146168.0,True,False,False,False,False,False,False,False,False,Manual,Todo Terreno,5.0,130.0,5.0,7.0,2018.0,12,1
MERCEDES-BENZ,Clase GLE Coupé 350d 4Matic Aut.,53900.0,1,0.0,53900.0,Asturias,73450.0,True,False,False,False,False,False,False,False,False,Automático,Desconocido,5.0,258.0,5.0,1.0,2020.0,12,0
BMW,Serie 2 218dA Active Tourer,40900.0,1,0.0,40900.0,Asturias,10.0,True,False,False,False,False,False,False,True,False,Automático,Monovolumen,5.0,150.0,5.0,12.0,2024.0,24,0
FIAT,Panda 1.0 Hybrid,13800.0,1,0.0,13800.0,Burgos,100.0,False,False,False,True,False,False,False,True,False,Manual,Berlina,4.0,70.0,5.0,1.0,2025.0,12,1
KIA,Ceed 1.0 T-GDI Concept,24990.0,0,0.0,24990.0,Vizcaya,9200.0,False,False,False,True,False,False,False,False,False,Manual,Berlina,5.0,120.0,5.0,12.0,2023.0,72,1
SEAT,León STYLE L PACK NAV,18390.0,1,0.0,18390.0,Murcia,179000.0,True,False,False,False,False,False,False,False,False,Automático,Desconocido,0.0,150.0,5.0,11.0,2020.0,12,0
LYNK & CO,01 1.5 PHEV 6.6KW 261 5P,33500.0,1,0.0,33500.0,Córdoba,380.0,False,False,False,False,False,True,False,True,False,Automático,Desconocido,0.0,261.0,5.0,7.0,2024.0,12,0
BMW,X3 xDrive 20dA,59900.0,1,0.0,59900.0,Asturias,1000.0,True,False,False,False,False,False,False,False,True,Automático,Todo Terreno,5.0,197.0,5.0,12.0,2024.0,24,0
DACIA,Sandero 1.5 Blue dCi Comfort 70kW,9990.0,1,0.0,9990.0,Lugo,85550.0,True,False,False,False,False,False,False,False,False,Manual,Berlina,5.0,95.0,5.0,1.0,2020.0,12,1
OPEL,Grandland X 1.5CDTi S&S Selective 130,16900.0,1,0.0,16900.0,La Coruña,88003.0,True,False,False,False,False,False,False,False,False,Manual,Todo Terreno,5.0,130.0,5.0,12.0,2020.0,12,1
VOLVO,XC90 2.0 B5 D MHEV CORE AWD AUTO 5P 7 PLAZAS,59900.0,1,0.0,59900.0,Vizcaya,22400.0,True,False,False,False,False,False,False,False,False,Automático,Desconocido,0.0,235.0,5.0,3.0,2024.0,24,0
RENAULT,Mégane 1.2 TCE Energy Limited S&S 115,9500.0,0,0.0,9500.0,Vizcaya,157231.0,False,False,False,True,False,False,False,False,False,Manual,Berlina,5.0,115.0,5.0,5.0,2015.0,12,1
FORD,Puma 1.0 EcoBoost ST-Line Aut. 125,20200.0,1,0.0,20200.0,Barcelona,31669.0,False,False,False,True,False,False,False,False,False,Automático,Todo Terreno,5.0,125.0,5.0,3.0,2021.0,12,0
KIA,"EV9 GT-Line 99,8kWh 283kW AWD 6pl",68000.0,0,0.0,68000.0,Vizcaya,5000.0,False,True,False,False,False,False,False,False,False,Automático,Desconocido,0.0,384.0,5.0,11.0,2023.0,72,0
FORD,EcoSport 1.0 EcoBoost ST Line 125,17900.0,1,0.0,17900.0,Guipúzcoa,56854.0,False,False,False,True,False,False,False,False,False,Manual,Todo Terreno,5.0,125.0,5.0,11.0,2021.0,0,1
TOYOTA,Corolla 125H Active Tech,19900.0,1,0.0,19900.0,Tenerife,54200.0,False,False,False,False,True,False,False,False,False,Automático,Berlina,5.0,122.0,5.0,1.0,2022.0,12,0
TOYOTA,Yaris 120H 1.5 Style,20900.0,0,0.0,20900.0,Barcelona,28750.0,False,False,False,False,True,False,False,False,False,Automático,Berlina,5.0,116.0,5.0,12.0,2021.0,12,0
NISSAN,Qashqai 1.3 DIG-T MHEV 103KW N-CONNECTA 140 5P,25900.0,1,0.0,25900.0,Vizcaya,17477.0,False,False,False,False,True,False,False,False,False,Manual,Desconocido,0.0,140.0,5.0,3.0,2024.0,24,1
MERCEDES-BENZ,Clase B 200d,22900.0,1,0.0,22900.0,León,82413.0,True,False,False,False,False,False,False,False,False,Automático,Monovolumen,5.0,150.0,5.0,12.0,2019.0,12,0
BMW,Serie 1 120iA,38500.0,1,0.0,38500.0,León,6132.0,False,False,False,True,False,False,False,False,False,Automático,Berlina,5.0,170.0,5.0,9.0,2024.0,24,0
VOLKSWAGEN,T-Roc TODOTERRENO 2.0 TDI 85KW LIFE 115 5P,26900.0,1,0.0,26900.0,Murcia,15700.0,True,False,False,False,False,False,False,False,False,Manual,Desconocido,0.0,115.0,5.0,12.0,2023.0,36,1
CITROEN,C4 Grand Picasso 1.2 PT. S&S Live Edition,10290.0,1,0.0,10290.0,Madrid,86327.0,False,False,False,True,False,False,False,False,False,Manual,Monovolumen,7.0,130.0,5.0,12.0,2015.0,12,1
FIAT,Panda 1.0 Gse City Cross Hybrid,12490.0,1,0.0,12490.0,Madrid,59424.0,False,False,False,True,False,False,False,False,False,Manual,Berlina,4.0,70.0,5.0,9.0,2022.0,12,1
PEUGEOT,208 1.2 Puretech S&S Allure 100,14490.0,1,0.0,14490.0,Madrid,23326.0,False,False,False,True,False,False,False,False,False,Manual,Berlina,5.0,100.0,5.0,3.0,2023.0,12,1
VOLVO,XC60 R DESIGN AWD 2.0 B5 D 235CV,42990.0,1,0.0,42990.0,Vizcaya,65000.0,False,False,False,False,True,False,False,False,False,Automático,Desconocido,0.0,235.0,5.0,6.0,2020.0,12,0
NISSAN,Juke 1.0 DIG-T N-Connecta 4x2 114,20290.0,1,0.0,20290.0,Madrid,28021.0,False,False,False,True,False,False,False,False,False,Manual,Todo Terreno,5.0,114.0,5.0,3.0,2024.0,12,1
HYUNDAI,i20 1.0 TGDI Klass 100,14490.0,1,0.0,14490.0,Madrid,72429.0,False,False,False,True,False,False,False,False,False,Manual,Berlina,5.0,100.0,5.0,9.0,2022.0,12,1
MINI,Countryman COOPER S E ALL4,19490.0,1,0.0,19490.0,Madrid,105276.0,False,False,False,False,False,True,False,False,False,Automático,Todo Terreno,5.0,224.0,5.0,6.0,2018.0,12,0
JAGUAR,E-Pace 2.0D I4 Standard AWD 150,21890.0,1,0.0,21890.0,Madrid,60500.0,True,False,False,False,False,False,False,False,False,Manual,Todo Terreno,5.0,150.0,5.0,10.0,2019.0,12,1
PEUGEOT,208 1.5 BlueHDi S&S Active 100,10990.0,1,-0.06,10330.599999999999,Madrid,109201.0,True,False,False,False,False,False,False,False,False,Manual,Berlina,5.0,100.0,5.0,2.0,2022.0,12,1
PEUGEOT,308 SW 1.5 BlueHDi S&S Allure EAT8 130,20500.0,1,0.0,20500.0,Pontevedra,99985.0,True,False,False,False,False,False,False,False,False,Automático,Stationwagon,5.0,130.0,5.0,5.0,2022.0,12,0
BMW,X5 xDrive45e,51490.0,1,0.0,51490.0,Madrid,51746.0,False,False,False,False,False,True,False,False,False,Automático,Todo Terreno,5.0,394.0,5.0,11.0,2019.0,12,0
MITSUBISHI,Eclipse Cross PHEV Kaiteki 4WD,23490.0,1,0.0,23490.0,Madrid,63918.0,False,False,False,False,False,True,False,False,False,Automático,Todo Terreno,5.0,188.0,5.0,4.0,2023.0,12,0
NISSAN,Qashqai DIG-T 103 kW (140 CV) E6D N-STYLE,20900.0,1,0.0,20900.0,Zaragoza,56911.0,False,False,False,True,False,False,False,False,False,Manual,Desconocido,0.0,140.0,5.0,4.0,2021.0,12,1
SKODA,Fabia 1.0 TSI Selection 70kW,15990.0,1,0.0,15990.0,Madrid,26673.0,False,False,False,True,False,False,False,False,False,Manual,Berlina,5.0,95.0,5.0,3.0,2024.0,12,1
SKODA,Superb Combi 1.4 TSI iV P-HEV Style DSG,24890.0,1,0.0,24890.0,Madrid,63933.0,False,False,False,False,False,True,False,False,False,Automático,Stationwagon,5.0,218.0,5.0,12.0,2020.0,12,0
VOLVO,XC60 2.0 B4 D ESSENTIAL AUTO 5P,37900.0,1,0.0,37900.0,Vizcaya,30600.0,True,False,False,False,False,False,False,False,False,Automático,Desconocido,0.0,197.0,5.0,6.0,2023.0,12,0
KIA,Sportage 1.6 MHEV Business DCT 100kW (136CV) 4X2,19700.0,1,0.0,19700.0,Pontevedra,119661.0,False,False,False,False,True,False,False,False,False,Automático,Desconocido,0.0,136.0,5.0,2.0,2021.0,12,0
HYUNDAI,Tucson 1.6CRDI SLE 4x2,18700.0,1,0.0,18700.0,Pontevedra,106837.0,True,False,False,False,False,False,False,False,False,Manual,Todo Terreno,5.0,116.0,5.0,5.0,2020.0,12,1
SKODA,Octavia Combi 2.0TDI Ambition DSG 110kW,15290.0,1,0.0,15290.0,Madrid,160870.0,True,False,False,False,False,False,False,False,False,Automático,Stationwagon,5.0,150.0,5.0,10.0,2020.0,12,0
BMW,Serie 1 118dA Business,33600.0,1,0.0,33600.0,León,23877.0,True,False,False,False,False,False,False,False,False,Automático,Berlina,5.0,150.0,5.0,1.0,2024.0,24,0
